hex,flight,reg,type_code,report_type,version,verdict,nac_p,nac_v,nic,sda,sil,failed_paragraphs,emergency,continuity,track_end,altitude,category,altitude_band,unstable,polls_seen,rule_airspace,year_mfr,build_cert
AC-D773E1,,,B39M,adsb_icao,2,fail,8,2,8,2,2,91.227(c)(1)(v),,"dropout: position went at least 54 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 16 snapshot(s), 255 s between sightings; dropout: absent from 7 snapshot(s), 120 s between sightings",,,A3,"Below 10,000 ft",nac_p alternated between 0 and 10 (1 change); nac_v alternated between 0 and 2 (1 change); nic alternated between 0 and 8 (1 change); sil alternated between 0 and 3 (2 changes),13,91.225(d)(2),2018,Not type certificated (experimental)
AC-B59897,,,B39M,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,78,91.225(d)(4),2019,Not type certificated (experimental)
AC-603376,,,B39M,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 54 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 14 snapshot(s), 225 s between sightings; dropout: absent from 14 snapshot(s), 226 s between sightings; dropout: absent from 3 snapshot(s), 60 s between sightings",,,A3,FL180 and above,sil alternated between 2 and 3 (4 changes),101,91.225(d)(1),2023,Not type certificated (experimental)
AC-8F52F3,,,E55P,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 56 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 1 snapshot(s), 31 s between sightings; dropout: absent from 3 snapshot(s), 60 s between sightings; dropout: absent from 1 snapshot(s), 30 s between sightings; dropout: absent from 3 snapshot(s), 60 s between sightings; dropout: absent from 1 snapshot(s), 30 s between sightings",,,A2,"10,000 ft to FL180",sil alternated between 2 and 3 (2 changes),231,91.225(d)(4),2019,Type certificated
AC-6C3A99,,,A321,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,24,91.225(d)(4),2019,Type certificated
AC-45FBD0,,,B407,adsb_icao,2,pass,10,2,10,2,3,,,"dropout: position went at least 58 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 112 snapshot(s), 1696 s between sightings",,,A7,"Below 10,000 ft",,64,91.225(d)(1),1999,Type certificated
AC-B222D0,,,A139,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 92 snapshot(s), 1396 s between sightings",,,A7,"Below 10,000 ft",,22,91.225(d)(2),2012,Type certificated
AC-F372B9,,,A20N,adsb_icao,2,pass,10,2,8,3,3,,,"dropout: position went at least 46 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 3 snapshot(s), 60 s between sightings",,,A3,"Below 10,000 ft",,12,91.225(d)(1),2021,Type certificated
AC-1067E9,,,E55P,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,,21,91.225(d)(4),2015,Type certificated
AC-F2D8D9,,,C172,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: absent from 5 snapshot(s), 90 s between sightings",last position 51 s old when last seen; not reacquired in the window,,A1,"Below 10,000 ft",nac_p alternated between 0 and 10 (2 changes); sil alternated between 0 and 3 (2 changes),94,91.225(d)(1),1999,Type certificated
AC-BEC2FA,,,B739,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,"10,000 ft to FL180",,15,91.225(d)(4),2012,Type certificated
AC-1FDAF7,,,B739,adsb_icao,2,pass,9,1,8,2,3,,,"dropout: position went at least 55 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 7 snapshot(s), 121 s between sightings",,,A3,Surface,,16,91.225(d)(1),2013,Type certificated
AC-D584B1,,,A321,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: absent from 1 snapshot(s), 30 s between sightings",last position 57 s old when last seen; not reacquired in the window,,A3,"Below 10,000 ft",sil alternated between 2 and 3 (1 change),60,91.225(d)(1),2019,Type certificated
AC-E03623,,,C510,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 57 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 5 snapshot(s), 90 s between sightings",,,A1,"Below 10,000 ft",sil alternated between 2 and 3 (2 changes),93,91.225(d)(3),2010,Type certificated
AC-478237,,,S76,adsb_icao,2,pass,10,1,8,2,3,,,,,,A7,"Below 10,000 ft",,51,91.225(d)(2),2011,Type certificated
